"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"15/07","MGMBET","[14/07] DISP TOTAL 15/07 BASE SB D3","13398","R$ 680,16","7,81","768,00","461,00","R$ 99,84","1,30%","0,78%","R$ 9,98","R$ 16,64","10,00","6,00","3,00","R$ 780,00","60,00%","50,00%"
"15/07","SuperBet","[14/07] DISP TOTAL 15/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ 341,79","3,16","1.217,00","604,00","R$ 158,21","0,16%","0,08%","R$ 79,11","R$ 158,21","2,00","1,00","1,00","R$ 500,00","50,00%","100,00%"
"15/07","SuperBet","[14/07] DISP TOTAL 15/07 BASE BETE D5","pilhado-disp-bete-d5-sb","R$ -129,09","0,00","993,00","426,00","R$ 129,09","0,10%","0,10%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"15/07","SuperBet","[14/07] DISP TOTAL 15/07 BASE VAIDEBET D5","pilhado-disp-traf-vaidebet-d5-sb","R$ 838,80","6,20","1.240,00","614,00","R$ 161,20","0,24%","0,16%","R$ 53,73","R$ 80,60","3,00","2,00","2,00","R$ 1.000,00","66,67%","100,00%"
"15/07","MGMBET","[14/07] DISP TOTAL 15/07 BASE SB D7","13422","R$ 149,76","2,36","848,00","438,00","R$ 110,24","0,59%","0,12%","R$ 22,05","R$ 110,24","5,00","1,00","1,00","R$ 260,00","20,00%","100,00%"
"15/07","MGMBET","[14/07] DISP TOTAL 15/07 BASE MGM D7","13542","R$ 149,24","2,35","852,00","403,00","R$ 110,76","0,35%","0,12%","R$ 36,92","R$ 110,76","3,00","1,00","1,00","R$ 260,00","33,33%","100,00%"
"15/07","MGMBET","[14/07] DISP TOTAL 15/07 BASE BETE D7","13544","R$ 91,91","1,55","1.293,00","578,00","R$ 168,09","0,23%","0,16%","R$ 56,03","R$ 84,05","3,00","2,00","1,00","R$ 260,00","66,67%","50,00%"
"15/07","MGMBET","[14/07] DISP TOTAL 15/07 BASE VAIDEBET D7","13548","R$ -48,49","0,00","373,00","156,00","R$ 48,49","0,27%","0,00%","R$ 48,49","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"16/07","Selecione","	[15/07] DISP 16/07 RMKT LOW TICKET","-","R$ -102,18","0,00","786,00","400,00","R$ 102,18","0,00%","0,00%","","","0,00","0,00","0,00","R$ 0,00","#DIV/0!","#DIV/0!"
"16/07","SuperBet","	[15/07] DISP TOTAL 16/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -21,58","0,00","166,00","116,00","R$ 21,58","1,20%","0,00%","R$ 10,79","R$ 0,00","2,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"16/07","MGMBET","	[15/07] DISP TOTAL 16/07 BASE SB D3","13398","R$ 165,88","2,76","724,00","413,00","R$ 94,12","0,41%","0,41%","R$ 31,37","R$ 31,37","3,00","3,00","1,00","R$ 260,00","100,00%","33,33%"
"16/07","SuperBet","	[15/07] DISP TOTAL 16/07 BASE SB D5","pilhado-disp-sb-d5","R$ -128,57","0,00","989,00","580,00","R$ 128,57","0,30%","0,20%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"16/07","SuperBet","	[15/07] DISP TOTAL 16/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ 393,14","4,68","822,00","407,00","R$ 106,86","0,12%","0,24%","R$ 106,86","R$ 53,43","1,00","2,00","1,00","R$ 500,00","200,00%","50,00%"
"17/07","SuperBet","[16/07] DISP TOTAL 17/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 491,29","57,41","67,00","40,00","R$ 8,71","1,49%","1,49%","R$ 8,71","R$ 8,71","1,00","1,00","1,00","R$ 500,00","100,00%","100,00%"
"17/07","SuperBet"," [16/07] DISP TOTAL 17/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 472,70","18,32","210,00","140,00","R$ 27,30","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","1,00","R$ 500,00","0,00%","0,00%"
"17/07","SuperBet","	[16/07] DISP TOTAL 17/07 BASE SB D5","pilhado-disp-traf-novi-d5-sb","R$ -122,72","0,00","944,00","505,00","R$ 122,72","0,32%","0,21%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"17/07","SuperBet","	[16/07] DISP TOTAL 17/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ 397,43","4,87","789,00","351,00","R$ 102,57","0,13%","0,00%","R$ 102,57","R$ 0,00","1,00","0,00","1,00","R$ 500,00","0,00%","0,00%"
"18/07","SuperBet","	[17/07] DISP TOTAL 18/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -88,66","0,00","682,00","448,00","R$ 88,66","0,44%","0,29%","R$ 29,55","R$ 44,33","3,00","2,00","0,00","R$ 0,00","66,67%","0,00%"
"18/07","SuperBet"," 	[17/07] DISP TOTAL 18/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 492,85","69,93","55,00","36,00","R$ 7,15","0,00%","1,82%","R$ 0,00","R$ 7,15","0,00","1,00","1,00","R$ 500,00","0,00%","100,00%"
"18/07","SuperBet"," [17/07] DISP TOTAL 18/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ 470,36","16,87","228,00","150,00","R$ 29,64","2,19%","0,44%","R$ 5,93","R$ 29,64","5,00","1,00","1,00","R$ 500,00","20,00%","100,00%"
"18/07","MGMBET"," [17/07] DISP TOTAL 18/07 BASE SB D3","13398","R$ 499,59","25,48","157,00","100,00","R$ 20,41","1,28%","0,64%","R$ 10,21","R$ 20,41","2,00","1,00","2,00","R$ 520,00","50,00%","200,00%"
"18/07","SuperBet"," [17/07] DISP TOTAL 18/07 BASE SB D5","pilhado-disp-sb-d5","R$ -90,22","0,00","694,00","364,00","R$ 90,22","0,14%","0,14%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 421,74","6,39","602,00","375,00","R$ 78,26","0,66%","0,17%","R$ 19,57","R$ 78,26","4,00","1,00","1,00","R$ 500,00","25,00%","100,00%"
"19/07","SuperBet","[18/07] DISP TOTAL 19/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 970,75","34,19","225,00","144,00","R$ 29,25","1,78%","1,78%","R$ 7,31","R$ 7,31","4,00","4,00","2,00","R$ 1.000,00","100,00%","50,00%"
